,bank_no,rack_no,serial_dt,current,voltage,avg_temp,dtime
1,1,2,1639176300,0,929,1,2021-12-10 22:45
2,1,23,1639176300,0.8,929,2,2021-12-10 22:45
3,1,26,1639176300,0,929,3,2021-12-10 22:45
4,1,2,1639176600,0,931,4,2021-12-10 22:50
5,1,23,1639176600,0,931,5,2021-12-10 22:50
6,1,26,1639176600,0,931,6,2021-12-10 22:50
7,1,2,1639176900,0,931,7,2021-12-10 22:55
8,1,23,1639176900,0,932,8,2021-12-10 22:55
9,1,26,1639176900,0,931,9,2021-12-10 22:55
10,1,1,1639177200,18.4,936,10,2021-12-10 23:00
11,1,2,1639177200,19.6,936,11,2021-12-10 23:00
12,1,3,1639177200,18.9,936,12,2021-12-10 23:00
13,1,4,1639177200,18.5,937,13,2021-12-10 23:00
14,1,5,1639177200,18.9,937,14,2021-12-10 23:00
15,1,6,1639177200,18.8,937,15,2021-12-10 23:00
16,1,7,1639177200,19,936,16,2021-12-10 23:00
17,1,8,1639177200,18.4,936,17,2021-12-10 23:00
18,1,9,1639177200,18,936,18,2021-12-10 23:00
19,1,10,1639177200,19,936,19,2021-12-10 23:00
20,1,11,1639177200,19.4,936,20,2021-12-10 23:00
21,1,12,1639177200,17.9,937,21,2021-12-10 23:00
22,1,13,1639177200,17.8,936,22,2021-12-10 23:00
23,1,14,1639177200,18.3,936,23,2021-12-10 23:00
24,1,15,1639177200,17.6,936,24,2021-12-10 23:00
25,1,16,1639177200,17.7,937,25,2021-12-10 23:00
26,1,17,1639177200,18,937,26,2021-12-10 23:00
27,1,18,1639177200,17.9,936,27,2021-12-10 23:00
28,1,19,1639177200,18,936,28,2021-12-10 23:00
29,1,20,1639177200,18.2,937,29,2021-12-10 23:00
30,1,21,1639177200,19,936,30,2021-12-10 23:00
31,1,22,1639177200,17.9,936,31,2021-12-10 23:00
32,1,23,1639177200,20.1,937,32,2021-12-10 23:00
33,1,24,1639177200,18.8,936,33,2021-12-10 23:00
34,1,25,1639177200,17.9,936,34,2021-12-10 23:00
35,1,26,1639177200,19.1,936,35,2021-12-10 23:00
36,1,27,1639177200,18,936,36,2021-12-10 23:00
37,1,28,1639177200,18.5,936,37,2021-12-10 23:00
38,1,1,1639177500,18.4,940,38,2021-12-10 23:05
39,1,2,1639177500,19.3,940,39,2021-12-10 23:05
40,1,3,1639177500,18.7,940,40,2021-12-10 23:05
41,1,4,1639177500,18.2,941,41,2021-12-10 23:05
42,1,5,1639177500,18.7,941,42,2021-12-10 23:05
43,1,6,1639177500,18.6,941,43,2021-12-10 23:05
44,1,7,1639177500,18.7,940,44,2021-12-10 23:05
45,1,8,1639177500,18.4,940,45,2021-12-10 23:05
46,1,9,1639177500,18.1,940,46,2021-12-10 23:05
47,1,10,1639177500,18.7,940,47,2021-12-10 23:05
48,1,11,1639177500,19.2,940,48,2021-12-10 23:05
49,1,12,1639177500,18,941,49,2021-12-10 23:05
50,1,13,1639177500,17.9,939,50,2021-12-10 23:05
51,1,14,1639177500,18.2,940,51,2021-12-10 23:05
52,1,15,1639177500,17.7,940,52,2021-12-10 23:05
53,1,16,1639177500,17.9,941,53,2021-12-10 23:05
54,1,17,1639177500,18.1,941,54,2021-12-10 23:05
55,1,18,1639177500,18,940,55,2021-12-10 23:05
56,1,19,1639177500,18,940,56,2021-12-10 23:05
57,1,20,1639177500,18.3,941,57,2021-12-10 23:05
58,1,21,1639177500,18.9,940,58,2021-12-10 23:05
59,1,22,1639177500,17.9,941,59,2021-12-10 23:05
60,1,23,1639177500,19.7,941,60,2021-12-10 23:05
61,1,24,1639177500,18.4,940,61,2021-12-10 23:05
62,1,25,1639177500,18,941,62,2021-12-10 23:05
63,1,26,1639177500,18.6,940,63,2021-12-10 23:05
64,1,27,1639177500,18.1,940,64,2021-12-10 23:05
65,1,28,1639177500,18.4,940,65,2021-12-10 23:05
66,1,1,1639177800,18.4,942,66,2021-12-10 23:10
67,1,2,1639177800,19.1,943,67,2021-12-10 23:10
68,1,3,1639177800,18.5,943,68,2021-12-10 23:10
