s_date,data_type,bank_no,rack_no,q_amt,dtime,sid
20200117,C,3,1,106.3233,2022-01-17,1
20200117,D,3,1,104.109,2022-01-17,2
20200117,C,3,2,106.3233,2022-01-17,3
20200117,D,3,2,104.109,2022-01-17,4
20200117,C,3,3,104.109,2022-01-17,5
20200117,D,3,3,103.66614,2022-01-17,6
20200117,C,3,4,103.22328,2022-01-17,7
20200117,D,3,4,102.78042,2022-01-17,8
20200117,C,3,5,102.33756,2022-01-17,9
20200117,D,3,5,101.8947,2022-01-17,10
20200117,C,3,6,101.45184,2022-01-17,11
20200117,D,3,6,101.00898,2022-01-17,12
20200117,C,3,7,100.56612,2022-01-17,13
20200117,D,3,7,100.12326,2022-01-17,14
20200117,C,3,8,99.6804,2022-01-17,15
20200117,D,3,8,99.23754,2022-01-17,16
20200117,C,3,9,98.79468,2022-01-17,17
20200117,D,3,9,98.35182,2022-01-17,18
20200117,C,3,10,97.90896,2022-01-17,19
20200117,D,3,10,106.3233,2022-01-17,20
20200117,C,3,11,104.109,2022-01-17,21
20200117,D,3,11,106.3233,2022-01-17,22
20200117,C,3,12,104.109,2022-01-17,23
20200117,D,3,12,104.109,2022-01-17,24
20200117,C,3,13,103.66614,2022-01-17,25
20200117,D,3,13,103.22328,2022-01-17,26
20200117,C,3,14,102.78042,2022-01-17,27
20200117,D,3,14,102.33756,2022-01-17,28
20200117,C,3,15,101.8947,2022-01-17,29
20200117,D,3,15,93.0375,2022-01-17,30
20200117,C,3,16,92.59464,2022-01-17,31
20200117,D,3,16,92.15178,2022-01-17,32
20200117,C,3,17,91.70892,2022-01-17,33
20200117,D,3,17,91.26606,2022-01-17,34
20200117,C,3,18,90.8232,2022-01-17,35
20200117,D,3,18,106.3233,2022-01-17,36
20200117,C,3,19,104.109,2022-01-17,37
20200117,D,3,19,106.3233,2022-01-17,38
20200117,C,3,20,104.109,2022-01-17,39
20200117,D,3,20,104.109,2022-01-17,40
20200117,C,3,21,103.66614,2022-01-17,41
20200117,D,3,21,103.22328,2022-01-17,42
20200117,C,3,22,102.78042,2022-01-17,43
20200117,D,3,22,102.33756,2022-01-17,44
20200117,C,3,23,101.8947,2022-01-17,45
20200117,D,3,23,85.95174,2022-01-17,46
20200117,C,3,24,85.50888,2022-01-17,47
20200117,D,3,24,85.06602,2022-01-17,48
20200117,C,3,25,106.3233,2022-01-17,49
20200117,D,3,25,104.109,2022-01-17,50
20200117,C,3,26,106.3233,2022-01-17,51
20200117,D,3,26,104.109,2022-01-17,52
20200117,C,3,27,104.109,2022-01-17,53
20200117,D,3,27,103.66614,2022-01-17,54
20200117,C,3,28,103.22328,2022-01-17,55
20200117,D,3,28,102.78042,2022-01-17,56
20200117,C,2,1,103.66614,2022-01-17,57
20200117,D,2,1,103.22328,2022-01-17,58
20200117,C,2,2,102.78042,2022-01-17,59
20200117,D,2,2,102.33756,2022-01-17,60
20200117,C,2,3,101.8947,2022-01-17,61
20200117,D,2,3,85.95174,2022-01-17,62
20200117,C,2,4,85.50888,2022-01-17,63
20200117,D,2,4,85.06602,2022-01-17,64
20200117,C,2,5,106.3233,2022-01-17,65
20200117,D,2,5,104.109,2022-01-17,66
20200117,C,2,6,106.3233,2022-01-17,67
20200117,D,2,6,104.109,2022-01-17,68
20200117,C,2,7,104.109,2022-01-17,69
